Category: All categories

Week,loafers: (New York),ballet flats: (New York),sambas: (New York),kitten heels: (New York)
2024-06-23,67,20,49,11
2024-06-30,53,16,40,8
2024-07-07,52,17,46,13
2024-07-14,56,18,48,13
2024-07-21,65,20,52,14
2024-07-28,60,18,57,12
2024-08-04,67,20,56,10
2024-08-11,67,22,64,12
2024-08-18,84,27,77,11
2024-08-25,86,23,69,11
2024-09-01,94,26,56,11
2024-09-08,96,25,52,12
2024-09-15,97,28,49,13
2024-09-22,100,24,45,13
2024-09-29,92,21,40,12
2024-10-06,97,22,38,10
2024-10-13,87,21,38,13
2024-10-20,84,17,37,12
2024-10-27,82,16,30,9
2024-11-03,73,13,34,9
2024-11-10,85,14,34,12
2024-11-17,82,13,40,13
2024-11-24,97,16,53,13
2024-12-01,86,14,44,10
2024-12-08,81,12,36,10
2024-12-15,63,12,38,11
2024-12-22,68,9,42,10
2024-12-29,72,12,27,10
2025-01-05,64,9,23,8
2025-01-12,61,9,27,11
2025-01-19,60,9,25,9
2025-01-26,61,10,35,10
2025-02-02,62,11,27,9
2025-02-09,62,11,26,10
2025-02-16,60,15,33,12
2025-02-23,72,15,30,11
2025-03-02,73,18,29,11
2025-03-09,83,24,43,14
2025-03-16,81,23,40,15
2025-03-23,87,28,43,16
2025-03-30,76,31,36,16
2025-04-06,68,23,37,16
2025-04-13,76,25,44,16
2025-04-20,85,32,43,17
2025-04-27,87,34,38,16
2025-05-04,88,32,37,15
2025-05-11,86,35,40,18
2025-05-18,76,26,40,20
2025-05-25,82,28,37,16
2025-06-01,80,31,32,16
2025-06-08,77,30,33,16
2025-06-15,80,24,37,17
2025-06-22,72,26,32,16
